time,x,y,vx,vy
0.0,57900000000.0,0.0,0.0,47900.0
31571.57157157157,57880265730.22486,1512106462.6034465,-1250.057902900001,47883.67407095829
63143.14314314314,57821076325.13422,3023182528.743924,-2499.2631589943967,47834.70727739215
94714.7147147147,57722472253.624344,4532197711.139444,-3746.761442503723,47753.13338637119
126286.28628628628,57584520967.169586,6038122985.115171,-4991.698634211772,47639.00870142505
157857.85785785786,57407316696.251465,7539932180.851402,-6233.224549220832,47492.41147199789
189429.4294294294,57190980450.161964,9036601984.528765,-7470.4929404372915,47313.44189288782
221001.001001001,56935659459.38378,10527113373.902296,-8702.663654558357,47102.221086868696
252572.57257257256,56641528288.46618,12010449412.56414,-9928.89288919979,46858.89463386157
284144.14414414414,56308788467.04067,13485597440.119629,-11148.337792998846,46583.631436923344
315715.7157157157,55937667440.584785,14951551967.020416,-12360.163389267642,46276.6211557798
347287.2872872873,55528418570.422035,16407314674.564491,-13563.542575993157,45938.07420682559
378858.8588588588,55081321133.72194,17851894414.89616,-14757.656125837231,45568.22176312429
410430.4304304304,54596680323.5,19284307211.006073,-15941.692686136577,45167.31575440833
442002.002002002,54074825974.08506,20703578182.10985,-17114.850513149933,44735.62723423485
473573.57357357355,53516114466.403206,22108739488.299213,-18276.326804859164,44273.45300457373
505145.1451451451,52920929055.350044,23498830972.75743,-19425.3212618031,43781.11477318214
536716.7167167166,52289676876.714424,24872904756.439255,-20561.045626138228,43258.952818746766
568288.2882882883,51622788934.09149,26230025257.482265,-21682.723714740685,42707.32596682533
599859.8598598598,50920720098.882744,27569269191.206844,-22789.591419206205,42126.611589846594
631431.4314314314,50183949110.29599,28889725570.116207,-23880.896705850188,41517.20560711036
663003.003003003,49412978575.34538,30190495703.896362,-24955.899615707636,40879.52248478751
694574.5745745746,48608334011.96426,31470694072.343307,-26013.87316814403,40213.993967710405
726146.1461461461,47770562592.0413,32729449924.917435,-27054.099153462605,39521.07198164703
757717.7177177176,46900239311.13054,33965902888.83335,-28075.860578667365,38801.239267877376
789289.2892892893,45997960259.78569,35179209366.62168,-29078.45535304708,38054.99505358353
820860.8608608608,45064341865.488846,36368543223.01705,-30061.19744373783,37282.85370415978
852432.4324324324,44100020892.65047,37533095784.95813,-31023.416875723033,36485.34472321259
884004.004004004,43105654442.6094,38672075841.58761,-31964.459731833405,35663.01275256066
915575.5755755756,42081919953.63287,39784709644.2522,-32883.688152747,34816.417572234845
947147.1471471471,41029515200.91649,40870240906.502625,-33780.48033698918,33946.13410047822
978718.7187187187,39949157976.62922,41927930972.74951,-34654.23071509679,33052.751964943935
1010290.2902902903,38841581707.226494,42957061397.14177,-35504.349421847255,32136.87368803099
1041861.8618618618,37707545075.25857,43956930036.017,-36330.25315676975,31199.134249464056
1073433.4334334333,36547825235.23077,44926855034.99401,-37131.37518763268,30240.184721974045
1105005.005005005,35363214674.5141,45866176475.572235,-37907.16806643992,29260.68679076481
1136576.5765765766,34154521213.3453,46774256375.13163,-38657.103629430785,28261.312753513183
1168148.148148148,32922568004.826775,47650478686.93279,-39380.672997080095,27242.745520368924
1199719.7197197196,31668193534.926662,48494249300.11687,-40077.38657409811,26205.67861395475
1231291.2912912914,30392251622.478775,49304996039.7056,-40746.77404943059,25150.816169366328
1262862.8628628629,29095611419.18267,50082168666.60129,-41388.38439625873,24078.872934172283
1294434.4344344344,27779156426.647785,50825239126.175934,-42001.78591699499,22990.573313540135
1326006.006006006,26443781116.280914,51533702894.56736,-42586.563822042765,21886.655213659447
1357577.5775775774,25090400106.85765,52207077793.3887,-43142.31898982061,20767.883969047005
1389149.1491491492,23719938967.88211,52844906317.61291,-43668.673131185744,19635.03282611785
1420720.7207207207,22333332598.054848,53446756018.54467,-44165.26924631414,18488.8804378618
1452292.2922922922,20931525225.272808,54012219503.820435,-44631.771624700574,17330.21086384339
1483863.8638638637,19515470406.629387,54540914437.4084,-45067.865845158594,16159.813570201928
1515435.4354354353,18086131028.414375,55032483539.608505,-45473.25877582053,14978.483429651471
1547007.007007007,16644479306.11401,55486594587.052444,-45847.67857413753,13787.020721480816
1578578.5785785785,15191496784.410955,55902940412.70364,-46190.87468687947,12586.231131553544
1610150.15015015,13728172676.94958,56281239062.79735,-46502.61724785323,11376.927404326481
1641721.7217217216,12255504128.045042,56621234636.1286,-46782.69640477505,10159.939590042557
1673293.2932932933,10774496608.221348,56922697659.059326,-47030.92451065004,8936.105144062281
1704864.8648648649,9286159202.644539,57185425173.68687,-47247.13590441152,7706.262219943401
